Year,UNA,DEM,REP,TOTAL,COUNTY
2019,73788,62717,47815,186208,Atlantic
2018,73737,62171,47303,184835,Atlantic
2017,73374,59751,45837,180123,Atlantic
2016,74160,56990,44383,176135,Atlantic
2015,76772,47914,40160,164970,Atlantic
2014,79135,50536,41695,171490,Atlantic
2013,81063,52987,42859,177025,Atlantic
2012,79826,50591,41745,172259,Atlantic
2011,72439,49380,40951,162847,Atlantic
2010,74806,50867,41661,167399,Atlantic
2009,73849,51431,41617,166955,Atlantic
2008,82091,52126,42076,176349,Atlantic
2007,85930,33872,36400,156251,Atlantic
2006,88466,33781,37556,159840,Atlantic
2005,85675,33538,37428,157202,Atlantic
2004,87000,29087,36431,153016,Atlantic
2003,74361,27573,36507,138821,Atlantic
2002,70961,25990,36676,133960,Atlantic
2001,76573,26290,37826,140998,Atlantic
2000,74848,23204,37265,135603,Atlantic
