Year,UNA,DEM,REP,TOTAL,COUNTY
2019,117813,116531,77917,314766,Burlington
2018,121403,117258,78349,319151,Burlington
2017,120378,112790,76340,311045,Burlington
2016,127854,111361,75454,315495,Burlington
2015,135129,94148,67432,297000,Burlington
2014,130003,94520,67733,292538,Burlington
2013,126771,95200,68084,290303,Burlington
2012,129986,94214,67668,292094,Burlington
2011,120179,91646,66395,278392,Burlington
2010,123128,93701,67446,284438,Burlington
2009,121251,94176,66606,282179,Burlington
2008,118527,91746,65518,275904,Burlington
2007,141579,51100,51846,244596,Burlington
2006,142816,51396,52995,247266,Burlington
2005,139657,51837,52930,245992,Burlington
2004,155953,53938,53143,264532,Burlington
2003,132013,52293,51827,237128,Burlington
2002,137624,54248,53651,246486,Burlington
2001,135478,54622,52061,243090,Burlington
2000,133750,54787,49976,239412,Burlington
