Year,COUNTY,UNA,DEM,REP,TOTAL
2019,Camden,138708,167102,53501,362843
2018,Camden,137854,164739,52566,358116
2017,Camden,137764,160195,51061,351076
2016,Camden,143806,154616,49134,348638
2015,Camden,152624,132572,42070,327556
2014,Camden,168287,141869,44645,355107
2013,Camden,165458,143475,45029,354247
2012,Camden,166208,141099,44438,351997
2011,Camden,155178,138264,43310,336956
2010,Camden,152595,138480,43332,334598
2009,Camden,147695,139541,43209,330626
2008,Camden,158165,139147,43669,341132
2007,Camden,187542,88888,33665,310219
2006,Camden,186567,88985,34343,310026
2005,Camden,179134,89529,34834,304874
2004,Camden,188841,89820,34185,314033
2003,Camden,159297,89326,34521,284207
2002,Camden,162257,91877,35914,291088
2001,Camden,142863,88624,34624,266984
2000,Camden,161517,95111,36181,293655
