Year,COUNTY,UNA,DEM,REP,TOTAL
2019,Cape May,25271,16405,28463,70724
2018,Cape May,26065,16589,28784,71942
2017,Cape May,25861,15906,28169,70302
2016,Cape May,26894,15696,28167,70980
2015,Cape May,28258,13171,25926,67419
2014,Cape May,27850,13534,26525,67972
2013,Cape May,27114,13738,26935,67877
2012,Cape May,27781,13798,27402,69037
2011,Cape May,26080,13629,27217,66967
2010,Cape May,26466,13896,27833,68234
2009,Cape May,26352,14083,27269,67740
2008,Cape May,27261,14405,27638,69340
2007,Cape May,30251,9059,24788,64125
2006,Cape May,31490,9281,25800,66593
2005,Cape May,30698,9332,26256,66683
2004,Cape May,32607,9255,26570,68828
2003,Cape May,28100,9092,26636,64148
2002,Cape May,28867,9465,27675,66319
2001,Cape May,29114,9556,26950,65923
2000,Cape May,31020,9819,27426,68561
