Year,COUNTY,UNA,DEM,REP,TOTAL
2019,Cumberland,42228,29790,18064,91271
2018,Cumberland,42482,29495,17888,90900
2017,Cumberland,43042,28621,17283,89673
2016,Cumberland,46709,28074,16717,91849
2015,Cumberland,48887,23936,14539,87425
2014,Cumberland,49143,24734,14912,88853
2013,Cumberland,47851,25036,15049,88002
2012,Cumberland,51659,25500,15427,92649
2011,Cumberland,49040,24917,15224,89238
2010,Cumberland,47457,25113,15313,87940
2009,Cumberland,46192,25333,15286,86862
2008,Cumberland,49079,25684,15472,90287
2007,Cumberland,51575,16169,12870,80650
2006,Cumberland,53655,16000,13234,82922
2005,Cumberland,51985,16135,13401,81783
2004,Cumberland,52364,16325,13399,82343
2003,Cumberland,46505,16010,13255,75976
2002,Cumberland,46949,16415,13688,77246
2001,Cumberland,45700,16631,13794,76290
2000,Cumberland,46647,16680,13317,76800
