Year,COUNTY,UNA,DEM,REP,TOTAL
2019,Essex,197903,264441,50639,515582
2018,Essex,197069,262201,50502,512119
2017,Essex,189527,251926,48812,491941
2016,Essex,225444,259387,49855,535778
2015,Essex,226113,221388,43094,490887
2014,Essex,219907,224161,43888,488238
2013,Essex,218028,229119,45725,493147
2012,Essex,219142,219383,45453,484228
2011,Essex,198057,208464,44838,451556
2010,Essex,198719,211607,45843,456364
2009,Essex,192513,213210,46088,451990
2008,Essex,190743,209583,45790,446258
2007,Essex,213578,149299,39122,402099
2006,Essex,224297,150399,41137,415921
2005,Essex,212658,148486,41830,403279
2004,Essex,230715,154808,43170,428942
2003,Essex,190024,152975,42733,385847
2002,Essex,207274,160120,45918,413346
2001,Essex,200511,153346,46936,401333
2000,Essex,224249,156372,48162,429337
