Year,COUNTY,UNA,DEM,REP,TOTAL
2019,Gloucester,83771,82818,47665,216116
2018,Gloucester,83473,82074,46726,213840
2017,Gloucester,82951,79309,44613,207986
2016,Gloucester,86142,77726,42871,207336
2015,Gloucester,91383,69399,36975,197971
2014,Gloucester,89102,69926,37092,196335
2013,Gloucester,87316,69107,37185,193809
2012,Gloucester,89179,69900,37239,196482
2011,Gloucester,83186,68951,35542,187816
2010,Gloucester,84995,70523,36003,191639
2009,Gloucester,82599,70773,35638,189119
2008,Gloucester,85167,71782,35397,192449
2007,Gloucester,94029,48992,27658,170749
2006,Gloucester,96620,49070,28052,173834
2005,Gloucester,93500,47704,28232,170790
2004,Gloucester,97073,47171,28218,173793
2003,Gloucester,84982,43684,26258,155935
2002,Gloucester,82248,43874,26594,153652
2001,Gloucester,79993,42762,26195,149846
2000,Gloucester,85316,44305,26837,157352
