Year,COUNTY,UNA,DEM,REP,TOTAL
2019,Hudson,127356,201562,34860,367780
2018,Hudson,127470,200660,34513,366250
2017,Hudson,122528,191129,32170,348366
2016,Hudson,130829,185445,30484,348067
2015,Hudson,132321,156358,24694,313691
2014,Hudson,130490,161889,25497,318206
2013,Hudson,147740,176217,27580,351881
2012,Hudson,142381,169160,26972,338820
2011,Hudson,126396,165236,25481,317347
2010,Hudson,123377,161754,25383,310737
2009,Hudson,120369,163559,25147,309269
2008,Hudson,142827,173890,27230,344119
2007,Hudson,145006,141813,23182,310125
2006,Hudson,138018,123561,22310,284072
2005,Hudson,149549,134486,24660,309738
2004,Hudson,153116,125705,23649,303325
2003,Hudson,117928,125831,23512,267674
2002,Hudson,130010,127843,25804,284045
2001,Hudson,128476,123821,26448,279099
2000,Hudson,126491,125637,24595,277045
