Year,COUNTY,UNA,DEM,REP,TOTAL
2019,Hunterdon,35363,23685,38192,97904
2018,Hunterdon,36189,23860,38538,99155
2017,Hunterdon,35741,22347,37984,96517
2016,Hunterdon,37148,21588,37727,96765
2015,Hunterdon,38671,17450,34748,90998
2014,Hunterdon,38196,17794,35070,91181
2013,Hunterdon,37420,17814,34694,90042
2012,Hunterdon,38146,17678,34810,90722
2011,Hunterdon,35578,17377,34181,87212
2010,Hunterdon,35359,17500,34533,87467
2009,Hunterdon,35031,17508,33587,86192
2008,Hunterdon,36706,17712,32935,87413
2007,Hunterdon,40554,9962,28622,79171
2006,Hunterdon,40411,9749,28427,78616
2005,Hunterdon,40628,9462,27434,77956
2004,Hunterdon,44677,9518,26564,81155
2003,Hunterdon,37679,9068,26468,73496
2002,Hunterdon,38418,9321,26110,74106
2001,Hunterdon,37745,9396,25509,72895
2000,Hunterdon,39496,9650,25059,74435
