Year,COUNTY,UNA,DEM,REP,TOTAL
2019,Mercer,100162,106809,37155,246651
2018,Mercer,99411,105321,36830,243716
2017,Mercer,96759,100091,35580,233860
2016,Mercer,102183,98202,35431,236640
2015,Mercer,106158,81455,31087,218907
2014,Mercer,106277,84168,32010,222668
2013,Mercer,103534,83797,32224,219773
2012,Mercer,109469,83978,32702,226330
2011,Mercer,99585,80589,31792,212117
2010,Mercer,102625,82412,32634,217818
2009,Mercer,99811,82701,32342,214997
2008,Mercer,106253,83372,32390,222154
2007,Mercer,118859,50030,25608,194599
2006,Mercer,123668,50898,26343,200996
2005,Mercer,120958,51579,26644,200615
2004,Mercer,126705,53333,26621,208067
2003,Mercer,107305,52022,26752,187177
2002,Mercer,110902,53624,27577,193138
2001,Mercer,107861,54118,27760,190727
2000,Mercer,113320,56374,27443,198099
