Year,COUNTY,UNA,DEM,REP,TOTAL
2019,Middlesex,222743,216010,78448,522466
2018,Middlesex,221920,212414,76700,515374
2017,Middlesex,217980,204080,73001,498080
2016,Middlesex,244582,202377,71720,520327
2015,Middlesex,249851,172392,59326,481988
2014,Middlesex,244191,173739,59419,477756
2013,Middlesex,240829,175542,60333,477092
2012,Middlesex,241574,170239,58749,470912
2011,Middlesex,218776,166376,56513,441920
2010,Middlesex,225069,170818,58049,454191
2009,Middlesex,219908,171854,57678,449668
2008,Middlesex,232671,171985,56962,461823
2007,Middlesex,247539,115525,43703,406939
2006,Middlesex,245802,112294,43678,401933
2005,Middlesex,235707,111884,43683,393101
2004,Middlesex,269455,112809,43208,427032
2003,Middlesex,228454,112809,43537,386204
2002,Middlesex,242290,115542,45840,404997
2001,Middlesex,242714,116965,45778,406590
2000,Middlesex,257110,118060,44758,420922
