Year,COUNTY,UNA,DEM,REP,TOTAL
2019,Monmouth,198881,125316,123355,451724
2018,Monmouth,204556,126414,123688,458265
2017,Monmouth,203913,121252,118379,446135
2016,Monmouth,213915,118090,114790,448339
2015,Monmouth,225504,98032,96058,419990
2014,Monmouth,227823,101850,98404,428452
2013,Monmouth,223841,103106,98950,426245
2012,Monmouth,226821,100933,97811,425871
2011,Monmouth,214951,98984,95005,409190
2010,Monmouth,218097,101891,96824,417029
2009,Monmouth,214372,103861,95603,414030
2008,Monmouth,225528,107140,94699,427561
2007,Monmouth,251517,64044,74823,390544
2006,Monmouth,259484,66318,77326,403276
2005,Monmouth,252706,66348,77547,398044
2004,Monmouth,262274,68226,75889,407776
2003,Monmouth,230907,66960,74685,373619
2002,Monmouth,233824,69265,75185,379253
2001,Monmouth,226923,69913,74512,372189
2000,Monmouth,235015,71251,71207,378268
