Year,COUNTY,UNA,DEM,REP,TOTAL
2019,Morris,133640,95962,126293,358509
2018,Morris,137826,96453,128360,364860
2017,Morris,136370,90069,125095,353176
2016,Morris,141723,85848,124178,352738
2015,Morris,146230,68473,112297,327333
2014,Morris,145973,69956,113759,330014
2013,Morris,140714,70230,114287,325545
2012,Morris,144168,69968,114390,328791
2011,Morris,131954,68658,112315,313130
2010,Morris,135015,69911,113229,318350
2009,Morris,133104,70156,111486,314923
2008,Morris,140335,70886,111135,322515
2007,Morris,151014,41047,97194,289354
2006,Morris,158328,41692,98711,298824
2005,Morris,157035,41229,97336,296992
2004,Morris,171906,41490,96954,311550
2003,Morris,152065,40492,97050,290481
2002,Morris,151058,41084,97494,290430
2001,Morris,153898,42007,99013,295673
2000,Morris,155674,41223,94837,292457
