Year,COUNTY,UNA,DEM,REP,TOTAL
2019,Ocean,185261,87988,138193,415350
2018,Ocean,183963,87265,136294,410830
2017,Ocean,183284,85406,131458,402504
2016,Ocean,191042,83972,126149,402435
2015,Ocean,199558,71521,107565,378979
2014,Ocean,198836,73746,108486,381384
2013,Ocean,197171,73925,108459,379841
2012,Ocean,201499,74693,106857,383312
2011,Ocean,188939,74430,103976,367561
2010,Ocean,192468,77103,106560,376319
2009,Ocean,189590,78103,103722,371580
2008,Ocean,199597,79872,101122,380740
2007,Ocean,217776,48104,80869,346843
2006,Ocean,220332,48975,82372,351765
2005,Ocean,214998,48987,82485,347950
2004,Ocean,223237,49667,78870,353098
2003,Ocean,196592,48541,77500,323662
2002,Ocean,195869,50290,79970,327077
2001,Ocean,192129,50727,77476,321299
2000,Ocean,203322,48341,72252,324795
