Year,COUNTY,UNA,DEM,REP,TOTAL
2019,Passaic,132693,122023,62217,320526
2018,Passaic,132491,119364,61488,316356
2017,Passaic,129703,114684,59518,305974
2016,Passaic,136104,110077,56058,303259
2015,Passaic,139681,90438,49099,279374
2014,Passaic,141252,93905,50379,285690
2013,Passaic,146535,97777,52300,296753
2012,Passaic,145169,93446,51604,290330
2011,Passaic,135413,82998,50582,269081
2010,Passaic,133241,82870,50058,266250
2009,Passaic,130691,82572,49560,262885
2008,Passaic,139890,82759,48686,271377
2007,Passaic,148631,50083,42336,241058
2006,Passaic,157990,51511,44110,253611
2005,Passaic,149725,51070,43705,245594
2004,Passaic,157864,52202,43540,254569
2003,Passaic,134416,51564,44068,230997
2002,Passaic,138281,53614,45268,238096
2001,Passaic,131767,54060,45516,232252
2000,Passaic,140318,53216,44600,239043
