Year,COUNTY,UNA,DEM,REP,TOTAL
2019,Salem,19680,14090,11436,45685
2018,Salem,19517,13941,11195,45052
2017,Salem,19532,13702,10709,44236
2016,Salem,20561,13724,10382,44845
2015,Salem,21541,12516,8937,43031
2014,Salem,22071,12831,9132,44065
2013,Salem,21593,13036,9246,43907
2012,Salem,22012,13250,9160,44451
2011,Salem,20847,13134,9028,43036
2010,Salem,21615,13516,9169,44326
2009,Salem,21295,13699,9134,44149
2008,Salem,21581,13629,9056,44282
2007,Salem,23915,9639,7187,40751
2006,Salem,24838,9391,7320,41558
2005,Salem,24145,9179,7373,40941
2004,Salem,25164,9407,7427,42242
2003,Salem,23004,9153,7383,39729
2002,Salem,23237,9026,7589,40028
2001,Salem,22483,8813,7577,39036
2000,Salem,23189,8827,7516,39676
