Year,COUNTY,UNA,DEM,REP,TOTAL
2019,Somerset,97133,76973,60416,236304
2018,Somerset,96577,75577,59948,233574
2017,Somerset,95191,71260,58576,226095
2016,Somerset,98696,67913,57195,224438
2015,Somerset,101664,53992,50884,206775
2014,Somerset,107546,55782,53345,216901
2013,Somerset,104644,55364,53684,213894
2012,Somerset,104762,53110,52858,210886
2011,Somerset,96776,51525,51263,199694
2010,Somerset,95306,51637,51358,198426
2009,Somerset,93445,51847,50909,196324
2008,Somerset,90147,50005,48874,189128
2007,Somerset,104626,24710,39300,168708
2006,Somerset,104153,23744,39541,167501
2005,Somerset,102677,23429,39746,166648
2004,Somerset,110010,23446,38564,172753
2003,Somerset,90364,22192,37859,150870
2002,Somerset,87067,22471,37847,147792
2001,Somerset,90221,23497,38993,153100
2000,Somerset,89380,23252,36196,149208
