Year,COUNTY,UNA,DEM,REP,TOTAL
2019,Sussex,41120,21836,43774,107937
2018,Sussex,40808,21565,43406,106759
2017,Sussex,40444,20464,42254,103855
2016,Sussex,42126,19643,41707,103805
2015,Sussex,44283,15711,38090,98243
2014,Sussex,46151,16394,39220,101930
2013,Sussex,45042,16455,39447,101099
2012,Sussex,45004,16160,38914,100213
2011,Sussex,43963,16113,38706,98900
2010,Sussex,42521,16226,38716,97572
2009,Sussex,42169,16305,37419,95985
2008,Sussex,43556,16317,36798,96749
2007,Sussex,47528,9612,32730,89909
2006,Sussex,49573,8884,30178,88672
2005,Sussex,47653,9070,30900,88004
2004,Sussex,49453,9115,30746,89679
2003,Sussex,41950,8540,29872,80583
2002,Sussex,42534,8686,29663,81092
2001,Sussex,41480,8823,29373,79877
2000,Sussex,42913,8878,28806,80793
