Year,COUNTY,UNA,DEM,REP,TOTAL
2019,Union,126270,159583,51371,340254
2018,Union,125934,158309,50967,337929
2017,Union,124782,150643,49011,326320
2016,Union,134091,146828,48204,330109
2015,Union,138680,126513,42153,307541
2014,Union,135607,128176,43412,307384
2013,Union,131124,127324,43701,302322
2012,Union,137283,125830,44392,307637
2011,Union,124460,120204,43372,288143
2010,Union,127356,123101,44836,295407
2009,Union,125409,122320,44767,292594
2008,Union,130442,124349,44909,299795
2007,Union,137583,85513,36704,259868
2006,Union,144120,88162,38769,271112
2005,Union,140660,87829,39405,268810
2004,Union,152190,90113,40104,283270
2003,Union,130266,87296,40237,258484
2002,Union,131897,89044,41598,263171
2001,Union,130135,89520,42394,262655
2000,Union,137275,92608,41818,272236
