Year,COUNTY,UNA,DEM,REP,TOTAL
2019,Warren,28880,18333,29558,77477
2018,Warren,28614,18145,29323,76733
2017,Warren,27927,17307,28452,74144
2016,Warren,31060,17387,28902,77617
2015,Warren,31891,14653,25510,72148
2014,Warren,31073,14717,25364,71245
2013,Warren,29964,14742,25206,69997
2012,Warren,29892,14441,24470,68876
2011,Warren,27960,14153,23489,65659
2010,Warren,28731,14622,24014,67423
2009,Warren,28209,14662,23451,66377
2008,Warren,29914,14788,23175,67920
2007,Warren,32059,9990,20735,62810
2006,Warren,32353,9738,19931,62042
2005,Warren,32017,9768,19615,61759
2004,Warren,35091,9641,18413,63466
2003,Warren,28493,9731,18644,57097
2002,Warren,29195,10112,18612,58122
2001,Warren,28731,10337,18296,57547
2000,Warren,30798,10344,17340,58645
