Count,County,Democrats,Republicans,Libertarian,Green,Other,Unaffiliated,Total_People,,
1,Atlantic,42945,36489,135,71,202,39217,119059,,
2,Bergen,163846,102372,375,203,533,160796,428125,,
3,Burlington,88863,61636,227,103,254,71668,222751,,
4,Camden,110286,35986,208,134,309,69654,216577,,
5,Cape May,12062,22535,49,25,58,14243,48972,,
6,Cumberland,20099,13002,58,30,111,20007,53307,,
7,Essex,183160,36301,200,124,273,95240,315298,,
8,Gloucester,58434,33671,185,78,166,46253,138787,,
9,Hudson,136379,21667,292,158,446,62533,221475,,
10,Hunterdon,17489,30817,81,31,74,22906,71398,,
11,Mercer,75798,27832,131,95,280,55391,159527,,
12,Middlesex,152856,56425,324,204,593,122989,333391,,
13,Monmouth,95785,95972,320,210,463,128974,321724,,
14,Morris,69463,101677,300,131,299,85237,257107,,
15,Ocean,65249,101334,270,155,484,108778,276270,,
16,Passaic,82565,44794,171,109,396,67830,195865,,
17,Salem,10336,8765,41,18,62,10648,29870,,
18,Somerset,54168,46163,181,64,184,59165,159925,,
19,Sussex,15726,34433,100,60,130,24570,75019,,
20,Union,113276,38535,200,108,397,74027,226543,,
21,Warren,12614,22260,62,31,75,15454,50496,,
,,,,,,,,,,
